"编号","开始答题时间","结束答题时间","答题时长","1.您的性别：","2.您的年龄：","3.您的身份：","4.您所处的年级：","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**短视频**：在您想要放松时，系统推荐的内容是否符合您的兴趣？","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**网购**：当您想购买某类商品时，推荐系统是否准确地推荐了符合您需求的商品？","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**新闻/资讯**：在想了解热点时，系统推荐的新闻是否符合您的关注点？","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**音乐/影视**：当您想寻找某种风格的音乐或影视作品时，系统推荐是否符合您的偏好？","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**学习/知识获取**：当您希望找到与学习或工作相关的内容时，推荐内容是否有帮助？","6.您觉得推荐系统是否能够捕捉到您的需求变化？","7.如果推荐系统无法捕捉需求变化，您认为主要原因是什么？（可多选）","8.您对推荐系统整体推荐质量的满意程度如何？","9.推荐系统在以下情境中的表现是否让您满意？:浏览短视频（如抖音、快手）","9.推荐系统在以下情境中的表现是否让您满意？:网购（如淘宝、京东）","9.推荐系统在以下情境中的表现是否让您满意？:获取新闻/资讯（如今日头条、微博）","9.推荐系统在以下情境中的表现是否让您满意？:搜索音乐或影视作品（如网易云音乐、B站）","9.推荐系统在以下情境中的表现是否让您满意？:学习或获取专业知识（如小红书、知乎）","10.您通常在哪些情境下使用推荐系统？（可多选）:浏览短视频（如抖音、快手）","10.您通常在哪些情境下使用推荐系统？（可多选）:网购（如淘宝、京东）","10.您通常在哪些情境下使用推荐系统？（可多选）:学习或获取专业知识（如小红书、知乎）","10.您通常在哪些情境下使用推荐系统？（可多选）:获取新闻/资讯（如今日头条、微博）","10.您通常在哪些情境下使用推荐系统？（可多选）:搜索音乐或影视作品（如网易云音乐、B站）","10.您通常在哪些情境下使用推荐系统？（可多选）:其他","11.请选择您在平台上的推荐系统使用频率：:**短视频**","11.请选择您在平台上的推荐系统使用频率：:**网购**","11.请选择您在平台上的推荐系统使用频率：:**新闻/资讯**","11.请选择您在平台上的推荐系统使用频率：:**音乐/影视**","11.请选择您在平台上的推荐系统使用频率：:**学习/知识获取**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**短视频**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**网购**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**新闻/资讯**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**音乐/影视**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**学习/知识获取**","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"33","22-Dec-2024 17:13:23","22-Dec-2024 17:14:54","91","A.男","B.18-24岁","A.学生","B.大一","4","3","2","4","4","A. 能够很好地捕捉到","","D. 比较满意","5","4","3","4","4","A.浏览短视频（如抖音、快手）","","","","E.搜索音乐或影视作品（如网易云音乐、B站）","","E.非常频繁","C.有时","A.从不","C.有时","C.有时","D.超过2小时","A.少于30分钟","A.少于30分钟","A.少于30分钟","B.30分钟-1小时","简体中文","未清洗","","中国","","","","240c:c001:1008:4dc8:e0f6:e35f:a2c3:35a4","Mozilla/5.0 (Linux; Android 12; ADY-AL00 Build/HUAWEIADY-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300199 MMWEBSDK/20241103 MMWEBID/8742 MicroMessenger/8.0.55.2780(0x28003734) WeChat/arm6","",
"32","22-Dec-2024 16:36:36","22-Dec-2024 16:38:12","96","A.男","B.18-24岁","A.学生","B.大一","3","2","3","2","1","B. 一般","","B. 不太满意","3","4","2","5","3","A.浏览短视频（如抖音、快手）","B.网购（如淘宝、京东）","","","E.搜索音乐或影视作品（如网易云音乐、B站）","","D.频繁","E.非常频繁","B.很少","D.频繁","C.有时","A.少于30分钟","A.少于30分钟","A.少于30分钟","B.30分钟-1小时","A.少于30分钟","简体中文","未清洗","","中国","北京市","北京市","","2409:8900:2fd:a4ec:d0ab:93ff:fe15:54db","Mozilla/5.0 (Linux; Android 15; V2338A Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300199 MMWEBSDK/20241103 MMWEBID/3260 MicroMessenger/8.0.54.2760(0x28003653) WeChat/ar","",
"31","22-Dec-2024 16:21:33","22-Dec-2024 16:22:52","79","A.男","B.18-24岁","A.学生","B.大一","2","4","3","3","4","A. 能够很好地捕捉到","","D. 比较满意","2","4","3","4","3","A.浏览短视频（如抖音、快手）","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","","E.搜索音乐或影视作品（如网易云音乐、B站）","","D.频繁","E.非常频繁","C.有时","D.频繁","D.频繁","A.少于30分钟","C.1-2小时","A.少于30分钟","B.30分钟-1小时","C.1-2小时","简体中文","未清洗","","中国","北京市","北京市","","2408:8409:6000:4d5:51a8:9c6c:41a9:4ab3","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.15(0x18000f20) NetType/4G Language/zh_CN SDK/2.2.7_lite miniProgram","",
"30","22-Dec-2024 16:17:50","22-Dec-2024 16:19:10","80","A.男","A.18岁以下","A.学生","A.大学以下","5","5","5","5","5","A. 能够很好地捕捉到","","D. 比较满意","5","5","5","5","5","","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","D.获取新闻/资讯（如今日头条、微博）","","","C.有时","C.有时","E.非常频繁","B.很少","E.非常频繁","B.30分钟-1小时","C.1-2小时","D.超过2小时","A.少于30分钟","D.超过2小时","简体中文","未清洗","","中国","湖北省","恩施土家族苗族自治州","","2408:824e:b105:41e0:dc9f:d34:7ff1:1e72","Mozilla/5.0 (Linux; Android 11; BAL-AN20 Build/WIKOBAL-AN20; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5315 MMWEBSDK/20220904 MMWEBID/5782 MicroMessenger/8.0.28.48(0x28001c30) MiniProgramEnv/and","",
"29","22-Dec-2024 15:06:21","22-Dec-2024 15:06:55","34","B.女","E.45岁及以上","B.上班族","","1","4","2","4","3","B. 一般","","A. 非常不满意","1","1","1","1","1","A.浏览短视频（如抖音、快手）","","C.学习或获取专业知识（如小红书、知乎）","","E.搜索音乐或影视作品（如网易云音乐、B站）","F.其他","A.从不","A.从不","A.从不","C.有时","A.从不","A.少于30分钟","B.30分钟-1小时","A.少于30分钟","B.30分钟-1小时","C.1-2小时","简体中文","未清洗","","中国","北京市","北京市","","60.207.201.133","Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x18003637) NetType/WIFI Language/zh_CN miniProgram/wxebadf544ddae62cb","",
"28","22-Dec-2024 14:45:24","22-Dec-2024 14:49:05","221","B.女","B.18-24岁","A.学生","B.大一","1","3","1","2","3","A. 能够很好地捕捉到","","C. 一般","1","5","1","2","5","","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","","E.搜索音乐或影视作品（如网易云音乐、B站）","","A.从不","E.非常频繁","B.很少","E.非常频繁","D.频繁","A.少于30分钟","B.30分钟-1小时","A.少于30分钟","D.超过2小时","C.1-2小时","简体中文","未清洗","","中国","山东省","威海市","","240e:446:5149:d3a8:98ae:60ff:feb2:6d21","Mozilla/5.0 (Linux; Android 14; RNA-AN00 Build/HONORRNA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300199 MMWEBSDK/20241103 MMWEBID/9289 MicroMessenger/8.0.54.2760(0x28003653) WeChat/arm64","",
"27","22-Dec-2024 14:46:40","22-Dec-2024 14:47:41","61","B.女","B.18-24岁","A.学生","B.大一","4","3","5","5","3","B. 一般","","D. 比较满意","3","2","4","5","3","","","C.学习或获取专业知识（如小红书、知乎）","D.获取新闻/资讯（如今日头条、微博）","E.搜索音乐或影视作品（如网易云音乐、B站）","","C.有时","C.有时","D.频繁","D.频繁","D.频繁","B.30分钟-1小时","A.少于30分钟","B.30分钟-1小时","B.30分钟-1小时","B.30分钟-1小时","简体中文","未清洗","","中国","北京市","北京市","","2409:8900:18d0:7587:c40f:46ff:feb0:d67a","Mozilla/5.0 (Linux; Android 15; 23127PN0CC Build/AQ3A.240627.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300199 MMWEBSDK/20241103 MMWEBID/6569 MicroMessenger/8.0.55.2780(0x28003734) WeChat/a","",
"26","22-Dec-2024 14:43:23","22-Dec-2024 14:44:28","65","A.男","B.18-24岁","A.学生","B.大一","5","4","4","3","4","A. 能够很好地捕捉到","","D. 比较满意","2","3","2","2","5","","B.网购（如淘宝、京东）","","","E.搜索音乐或影视作品（如网易云音乐、B站）","","B.很少","C.有时","C.有时","D.频繁","C.有时","A.少于30分钟","A.少于30分钟","A.少于30分钟","C.1-2小时","B.30分钟-1小时","简体中文","未清洗","","中国","北京市","北京市","","2408:8409:18b0:3cbf:a164:d7d0:a501:637d","Mozilla/5.0 (Linux; Android 12; HBN-AL80 Build/HUAWEIHBN-AL80; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300199 MMWEBSDK/20241103 MMWEBID/7013 MicroMessenger/8.0.55.2780(0x28003734) WeChat/arm6","",
"25","22-Dec-2024 14:13:51","22-Dec-2024 14:15:20","89","A.男","B.18-24岁","A.学生","B.大一","4","5","4","3","2","A. 能够很好地捕捉到","","C. 一般","2","4","3","4","2","","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","","","","D.频繁","D.频繁","C.有时","B.很少","B.很少","A.少于30分钟","A.少于30分钟","B.30分钟-1小时","D.超过2小时","C.1-2小时","简体中文","未清洗","","中国","北京市","北京市","","2409:8900:2c4:cfd7:4c75:f1dd:54fc:b2b","Mozilla/5.0 (Linux; Android 12; ALN-AL10 Build/HUAWEIALN-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300199 MMWEBSDK/20241103 MMWEBID/7128 MicroMessenger/8.0.54.2760(0x28003653) WeChat/arm6","",
"24","22-Dec-2024 14:06:43","22-Dec-2024 14:10:27","224","B.女","B.18-24岁","A.学生","B.大一","5","5","1","2","5","A. 能够很好地捕捉到","","B. 不太满意","4","4","4","4","4","A.浏览短视频（如抖音、快手）","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","D.获取新闻/资讯（如今日头条、微博）","E.搜索音乐或影视作品（如网易云音乐、B站）","","E.非常频繁","E.非常频繁","C.有时","E.非常频繁","E.非常频繁","D.超过2小时","D.超过2小时","C.1-2小时","D.超过2小时","D.超过2小时","简体中文","未清洗","","中国","北京市","北京市","","111.201.226.57","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x18003637) NetType/WIFI Language/zh_CN miniProgram/wxebadf544ddae62cb","",
